hotel_name,rating_food,food_type,location,offer,rating,delivery_time_mins,primary_food,discount_percent,offer_amount_rs,offer_type,has_offer
RTC 2 - Rolls and Chicken Grills,4.1 • 45 mins,"Snacks, Fast Food, North Indian, Street Food",Dahisar West, ₹175 OFF ABOVE ₹449,4.1,45.0,snacks,0.0,175.0,ABOVE,Yes
Soda Frankie Hub,4.1 • 49 mins,"Indian, Fast Food",Malad Kan West, ,4.1,49.0,indian,0.0,0.0,NONE,Yes
SHEIK'S Shawarma,4.3 • 47 mins,"Lebanese, Mediterranean, Arabian, Middle Eastern, Beverages, Desserts, Bakery, Jain",Jog Gor East, ₹175 OFF ABOVE ₹449,4.3,47.0,lebanese,0.0,175.0,ABOVE,Yes
Mastee,4 • 53 mins,"Italian, Continental",Borivali West, ,,53.0,italian,0.0,0.0,NONE,Yes
The Veg Treat Legacy,4.4 • 40 mins,"Chinese, South Indian, Biryani, Indian",Borivali West, 10% OFF ABOVE ₹600,4.4,40.0,chinese,10.0,600.0,ABOVE,Yes
The China Kitchen,50 mins,"Chinese, Indian",Jog Gor East, ,,50.0,chinese,0.0,0.0,NONE,Yes
Monopoly Restaurant & Juice House,3.7 • 51 mins,"Continental, Beverages",Malad West, ,3.7,51.0,continental,0.0,0.0,NONE,Yes
Laxmi Vilas,4.3 • 49 mins,"North Indian, Chinese, Seafood",Daftary Road, 15% OFF UPTO ₹100,4.3,49.0,north indian,15.0,100.0,UPTO,Yes
Pritam Fast Food,4.2 • 44 mins,"Chinese, Beverages, South Indian, Indian, Fast Food",Jog Gor East, ,4.2,44.0,chinese,0.0,0.0,NONE,Yes
Smoothie Bar Inc,4.1 • 50 mins,"Juices, Beverages",Malad West, ₹125 OFF ABOVE ₹499,4.1,50.0,juices,0.0,125.0,ABOVE,Yes
Bombay Cycle Cafe,4.4 • 45 mins,Pizzas,Borivali West, 25% OFF UPTO ₹125,4.4,45.0,pizzas,25.0,125.0,UPTO,Yes
White House Cafe,4.1 • 58 mins,"Italian, Beverages",Borivali West, ₹150 OFF ABOVE ₹999,4.1,58.0,italian,0.0,150.0,ABOVE,Yes
Shuddhi,4.4 • 61 mins,"North Indian, Chinese",Malad West, ,4.4,61.0,north indian,0.0,0.0,NONE,Yes
Muchhad Paanwala,4.5 • 44 mins,Paan,Borivali West, ,4.5,44.0,paan,0.0,0.0,NONE,Yes
Parathas And Meals,4.6 • 58 mins,Indian,Ganesh Chowk, ,4.6,58.0,indian,0.0,0.0,NONE,Yes
Bangalore Iyyangars Bakery,4.4 • 45 mins,Bakery,Malad Kan West, ,4.4,45.0,bakery,0.0,0.0,NONE,Yes
Suriya's Kitchen,4.3 • 53 mins,"Thai, Chinese, Asian",Borivali West, ₹100 OFF ABOVE ₹749,4.3,53.0,thai,0.0,100.0,ABOVE,Yes
The Hangout Burger Hub,4.5 • 57 mins,"Fast Food, Snacks, American",Malad West, ,4.5,57.0,fast food,0.0,0.0,NONE,Yes
The Grove Kitchen And Bar,4 • 49 mins,Indian,Dahisar, 30% OFF UPTO ₹150,,49.0,indian,30.0,150.0,UPTO,Yes
SHREE SEVA FOODS,53 mins,"Bakery, Desserts, Snacks",Borivali West, ,,53.0,bakery,0.0,0.0,NONE,Yes
Aaradhya Family Chinese Corner,3.9 • 47 mins,Chinese,Borivali West, ,3.9,47.0,chinese,0.0,0.0,NONE,Yes
Sam Snacks,4.6 • 60 mins,"Indian, South Indian",Malad East, ,4.6,60.0,indian,0.0,0.0,NONE,Yes
Bollywood Burger & Waffles CO,3.9 • 45 mins,Indian,Dahisar West, ₹175 OFF ABOVE ₹449,3.9,45.0,indian,0.0,175.0,ABOVE,Yes
Sweet Touch By Landmark,3.7 • 59 mins,"Desserts, Sweets",Malad Kan West, ₹100 OFF ABOVE ₹599,3.7,59.0,desserts,0.0,100.0,ABOVE,Yes
Moktu,4.7 • 56 mins,Chinese,Malad Kan West, ,4.7,56.0,chinese,0.0,0.0,NONE,Yes
Natural juice center,2.9 • 46 mins,"Beverages, Ice Cream",Malad Kan West, ,2.9,46.0,beverages,0.0,0.0,NONE,Yes
The Boat Club,4.3 • 53 mins,"Indian, Thai",Dahisar East, ,4.3,53.0,indian,0.0,0.0,NONE,Yes
Masala Mastee,4.6 • 50 mins,"Maharashtrian, North Indian, Chinese, Fast Food",Borivali West, ,4.6,50.0,maharashtrian,0.0,0.0,NONE,Yes
Hotel Navbharat,4.3 • 45 mins,"Chinese, Indian, Beverages",Malad East, ,4.3,45.0,chinese,0.0,0.0,NONE,Yes
Coastal Food and Spirits,4.4 • 63 mins,"Indian, Chinese",Malad West, ,4.4,63.0,indian,0.0,0.0,NONE,Yes
Hotel Lotus Court,4.3 • 54 mins,"Indian, Chinese",Dahisar, ,4.3,54.0,indian,0.0,0.0,NONE,Yes
SoonLi Chinese Restaurant,4.4 • 60 mins,Chinese,Malad West, ,4.4,60.0,chinese,0.0,0.0,NONE,Yes
Raju's Asian Corner,4.1 • 41 mins,"Indian, Chinese, Tandoor",Borivali West, ₹175 OFF ABOVE ₹449,4.1,41.0,indian,0.0,175.0,ABOVE,Yes
Maratha Biryani Center,4 • 48 mins,"Biryani, Chinese, Mughlai, North Indian, Tandoor",Jog Gor East, ,,48.0,biryani,0.0,0.0,NONE,Yes
Flag's Iii,3.8 • 49 mins,"Indian, Continental, Chinese, Italian",Borivali West, 10% OFF ABOVE ₹1300,3.8,49.0,indian,10.0,1300.0,ABOVE,Yes
Aai Krupa Fast Food,3.8 • 42 mins,Snacks,Borivali West, ,3.8,42.0,snacks,0.0,0.0,NONE,Yes
Ashoka Restaurant & Bar,4.3 • 51 mins,Indian,Malad West, ,4.3,51.0,indian,0.0,0.0,NONE,Yes
Mizuna The Oriental Place,4.3 • 60 mins,"Chinese, Fast Food, Snacks, Asian",Kandivali West, 30% OFF UPTO ₹150,4.3,60.0,chinese,30.0,150.0,UPTO,Yes
Jaya's Kitchen,3.9 • 49 mins,"Chinese, Indian",Malad Kan West, ,3.9,49.0,chinese,0.0,0.0,NONE,Yes
Crazy Cakes,28 mins,"Desserts, Bakery",Kandivali East, 10% OFF ABOVE ₹159,,28.0,desserts,10.0,159.0,ABOVE,Yes
Happy Moments,32 mins,Bakery,Borivali West, ,,32.0,bakery,0.0,0.0,NONE,Yes
The Shivaay,4 • 34 mins,"Indian, Chinese, Continental",Kandivali East, ,,34.0,indian,0.0,0.0,NONE,Yes
Bombay Sweets,3.5 • 28 mins,"Sweets, Desserts",Borivali West, ,3.5,28.0,sweets,0.0,0.0,NONE,Yes
Banglore Iyangar'S Bekery,4.6 • 23 mins,Bakery,Dahisar, ,4.6,23.0,bakery,0.0,0.0,NONE,Yes
Radha Krishna Hotel,3.6 • 26 mins,"Indian, Tandoor",Borivali West, ,3.6,26.0,indian,0.0,0.0,NONE,Yes
Da Krem - Home of fresh baking.,4.2 • 29 mins,"Bakery, Desserts",Borivali West, ,4.2,29.0,bakery,0.0,0.0,NONE,Yes
Laxmi Sweets and Thaali,4.6 • 34 mins,North Indian,Borivali West, ,4.6,34.0,north indian,0.0,0.0,NONE,Yes
Madhav Fast Food And juice Center,4.3 • 34 mins,"Beverages, Indian, Fast Food, South Indian, Burgers, Pizzas, Snacks",Borivali West, 20% OFF ABOVE ₹350,4.3,34.0,beverages,20.0,350.0,ABOVE,Yes
Pooja Pav Bhaji And Snacks Corner,35 mins,"Fast Food, Indian, Chinese",Malad East, 50% OFF UPTO ₹100,,35.0,fast food,50.0,100.0,UPTO,Yes
Shetty tea and snacks center,4.2 • 44 mins,"Snacks, South Indian",Malad East, ,4.2,44.0,snacks,0.0,0.0,NONE,Yes
Cherry & Chocolatte,43 mins,"Bakery, Desserts",Bandra West, 20% OFF UPTO ₹50,,43.0,bakery,20.0,50.0,UPTO,Yes
Maharaja Darbar,41 mins,"North Indian, Chinese, South Indian, Burgers, Pizzas, Bakery, Beverages",Gandhare Road, 30% OFF UPTO ₹150,,41.0,north indian,30.0,150.0,UPTO,Yes
Meal By Kilo,3.9 • 40 mins,"North Indian, South Indian, Chinese",Borivali West, ,3.9,40.0,north indian,0.0,0.0,NONE,Yes
Bhajiyawala & Co,3.9 • 40 mins,"Indian, Italian-American, Continental, Lebanese",Borivali West, 30% OFF UPTO ₹150,3.9,40.0,indian,30.0,150.0,UPTO,Yes
North Punjabi Kitchen,3.8 • 41 mins,"North Indian, Punjabi, Maharashtrian, Indian",Kandivali East, 10% OFF UPTO ₹40,3.8,41.0,north indian,10.0,40.0,UPTO,Yes
Prasadam,3.4 • 37 mins,Indian,Borivali West, ,3.4,37.0,indian,0.0,0.0,NONE,Yes
Mumbai Fast Food,4.1 • 39 mins,"Fast Food, Snacks, Pizzas, Beverages",Borivali West, ,4.1,39.0,fast food,0.0,0.0,NONE,Yes
Joye's Pizzeria,3.7 • 38 mins,"Chinese, Desserts, Burgers, Pizzas, Italian",Kandivali East, 50% OFF UPTO ₹100,3.7,38.0,chinese,50.0,100.0,UPTO,Yes
Hotel Regency,28 mins,Chinese,Jog Gor East, ,,28.0,chinese,0.0,0.0,NONE,Yes
Savory Kitchen,4.2 • 35 mins,"Indian, Bengali",Borivali East, ,4.2,35.0,indian,0.0,0.0,NONE,Yes
Tavola restaurant,4.3 • 30 mins,"Indian, Biryani, Chinese, Pizzas, Seafood",Borivali West, ,4.3,30.0,indian,0.0,0.0,NONE,Yes
Vijay Pure Veg,4.6 • 31 mins,Chinese,Kandivali East, ,4.6,31.0,chinese,0.0,0.0,NONE,Yes
Konkan Kubera,4.1 • 36 mins,"Chinese, North Indian, Seafood",Borivali West, ,4.1,36.0,chinese,0.0,0.0,NONE,Yes
Spaghetto,34 mins,"Italian, Beverages",Malad East, 50% OFF UPTO ₹100,,34.0,italian,50.0,100.0,UPTO,Yes
Froozo,3.7 • 50 mins,"Pizzas, Beverages, Burgers, Desserts",Malad West, 30% OFF UPTO ₹150,3.7,50.0,pizzas,30.0,150.0,UPTO,Yes
Chinese Foodie,3.7 • 43 mins,"Chinese, Thai",Malad East, 40% OFF UPTO ₹200,3.7,43.0,chinese,40.0,200.0,UPTO,Yes
