hotel_name,rating_food,food_type,location,offer,rating,delivery_time_mins,primary_food,discount_percent,offer_amount_rs,offer_type,has_offer
McDonald's,4.5 • 27 mins,"Burgers, Beverages, Cafe, Desserts",Kandivali East,30% OFF UPTO ₹75 ,4.5,27.0,burgers,30.0,75.0,UPTO,Yes
KFC,4.2 • 30 mins,"Burgers, Biryani, American, Snacks, Fast Food",Kandivali East,40% OFF UPTO ₹80 ,4.2,30.0,burgers,40.0,80.0,UPTO,Yes
Domino's Pizza,4.3 • 25 mins,"Pizzas, Italian, Pastas, Desserts",Thakur Village,₹150 OFF ABOVE ₹299 ,4.3,25.0,pizzas,0.0,150.0,ABOVE,Yes
Charcoal Eats - Biryani & Beyond,4.3 • 24 mins,"Biryani, Kebabs, Hyderabadi, North Indian",Malad East,50% OFF UPTO ₹100 ,4.3,24.0,biryani,50.0,100.0,UPTO,Yes
Sandwizzaa,4.6 • 22 mins,"Snacks, Fast Food, Beverages, Jain",Kandivali East,60% OFF UPTO ₹120 ,4.6,22.0,snacks,60.0,120.0,UPTO,Yes
1441 Pizzeria,3.8 • 32 mins,"Italian, Pizzas, Pastas",Kandivali East,60% OFF UPTO ₹120 ,3.8,32.0,italian,60.0,120.0,UPTO,Yes
Hangout Cakes & More,4.4 • 24 mins,"Desserts, Bakery",Borivali West,60% OFF UPTO ₹150 ,4.4,24.0,desserts,60.0,150.0,UPTO,Yes
Love & Cheesecake ,4.5 • 14 mins,Desserts,Kandivali East, ,4.5,14.0,desserts,0.0,0.0,NONE,Yes
Nothing But Chicken,4.5 • 22 mins,"Salads, Biryani, Kebabs, Fast Food, Healthy Food",Kandivali East,20% OFF UPTO ₹50 ,4.5,22.0,salads,20.0,50.0,UPTO,Yes
Sweet Bengal,4.6 • 13 mins,"Sweets, Indian, Snacks, Desserts",Kandivali East,20% OFF UPTO ₹50 ,4.6,13.0,sweets,20.0,50.0,UPTO,Yes
Atta Girl,4.7 • 27 mins,South Indian,Malad West, ,4.7,27.0,south indian,0.0,0.0,NONE,Yes
NIC Ice Creams,4.7 • 17 mins,"Ice Cream, Desserts",Kandivali East,ITEMS AT ₹149 ,4.7,17.0,ice cream,0.0,149.0,ITEM_BASED,Yes
Poetry By Love & Cheesecake,4.4 • 34 mins,Desserts,Kandivali West, ,4.4,34.0,desserts,0.0,0.0,NONE,Yes
Havmor Havfunn Ice Cream,4.6 • 18 mins,"Ice Cream, Ice Cream Cakes, Desserts, Beverages",Malad East, ,4.6,18.0,ice cream,0.0,0.0,NONE,Yes
NOTO - Ice Creams & Desserts,4.6 • 15 mins,Ice Cream,Kandivali East,₹175 OFF ABOVE ₹799 ,4.6,15.0,ice cream,0.0,175.0,ABOVE,Yes
McDonald's Gourmet Burger Collection,4.3 • 26 mins,"Burgers, Beverages, Cafe, Desserts",Malad East, ,4.3,26.0,burgers,0.0,0.0,NONE,Yes
Grameen Kulfi,4.7 • 16 mins,"Ice Cream, Desserts",Kandivali East,EVERY ITEM @ ₹99 ,4.7,16.0,ice cream,0.0,99.0,ITEM_BASED,Yes
Surbhi Sweets And Snacks,4.2 • 24 mins,"Sweets, Chaat, Snacks, Desserts, Beverages, Indian",Dahisar East,₹125 OFF ABOVE ₹599 ,4.2,24.0,sweets,0.0,125.0,ABOVE,Yes
Jumboking Indian Burger,4.5 • 25 mins,"American, Mexican, Fast Food, Snacks, Beverages",Dahisar East,₹175 OFF ABOVE ₹449 ,4.5,25.0,american,0.0,175.0,ABOVE,Yes
Theobroma,4.5 • 23 mins,"Bakery, Desserts",Borivali West,₹150 OFF ABOVE ₹999 ,4.5,23.0,bakery,0.0,150.0,ABOVE,Yes
Amul Real Milk Real Ice Cream,4.3 • 29 mins,Ice Cream,Borivali West, ₹100 OFF ABOVE ₹749,4.3,29.0,ice cream,0.0,100.0,ABOVE,Yes
"Dabba Garam (Homestyle,Combo, Thali & More)",4.5 • 35 mins,"Home Food, North Indian, Thai",Borivali West, 15% OFF UPTO ₹45,4.5,35.0,home food,15.0,45.0,UPTO,Yes
Bakingo-Cakes & Desserts,4.4 • 33 mins,"Bakery, Desserts, Beverages, Snacks",Kandivali West, ₹175 OFF ABOVE ₹999,4.4,33.0,bakery,0.0,175.0,ABOVE,Yes
NH1 Bowls - Highway To North,4.7 • 11-21 mins,"North Indian, Punjabi, Home Food",Kandivali East, 50% OFF UPTO ₹100,4.7,16.0,north indian,50.0,100.0,UPTO,Yes
63 By-Lane,4.3 • 36 mins,"Pizzas, Pastas, Salads",Malad East, ₹125 OFF ABOVE ₹699,4.3,36.0,pizzas,0.0,125.0,ABOVE,Yes
Nishi Home Delites,4.6 • 27 mins,"Indian, Punjabi",Kandivali East, FREE ITEM ,4.6,27.0,indian,0.0,0.0,ITEM_BASED,Yes
Rasobongo,4.4 • 13 mins,"Bengali, Sweets, Desserts, Snacks",Kandivali East, 10% OFF UPTO ₹40,4.4,13.0,bengali,10.0,40.0,UPTO,Yes
Central Prabhu,4.4 • 35 mins,"Mughlai, North Indian, Chinese, Konkan, Malwani",Borivali East, ₹100 OFF ABOVE ₹299,4.4,35.0,mughlai,0.0,100.0,ABOVE,Yes
Peetuk,4.2 • 22 mins,"Biryani, Bengali",Kandivali East, ₹125 OFF ABOVE ₹249,4.2,22.0,biryani,0.0,125.0,ABOVE,Yes
The Joy Pizzateria,4.1 • 24 mins,"Pizzas, Beverages",Kandivali East, 60% OFF UPTO ₹120,4.1,24.0,pizzas,60.0,120.0,UPTO,Yes
Theobroma,4.5 • 15 mins,"Bakery, Desserts",Kandivali East, ₹150 OFF ABOVE ₹999,4.5,15.0,bakery,0.0,150.0,ABOVE,Yes
Third Wave Coffee,4.3 • 18 mins,"Cafe, Beverages, Desserts",Malad East, 20% OFF UPTO ₹50,4.3,18.0,cafe,20.0,50.0,UPTO,Yes
Big Bowl,4 • 24 mins,"North Indian, Chinese, Tibetan, Desserts",Kandivali East, ITEMS AT ₹169,,24.0,north indian,0.0,169.0,ITEM_BASED,Yes
Shree mithai,4.7 • 24 mins,Indian,Borivali West, ,4.7,24.0,indian,0.0,0.0,NONE,Yes
Breadkraft,4.3 • 21 mins,Pizzas,Mumbai, 30% OFF UPTO ₹75,4.3,21.0,pizzas,30.0,75.0,UPTO,Yes
The Bengal Club,4.1 • 18 mins,Bengali,Malad East, ₹125 OFF ABOVE ₹249,4.1,18.0,bengali,0.0,125.0,ABOVE,Yes
Shawarmaji,4.4 • 16 mins,Lebanese,Kandivali, FREE ITEM ,4.4,16.0,lebanese,0.0,0.0,ITEM_BASED,Yes
Good Flippin' Burgers,4.6 • 18 mins,"American, Fast Food, Burgers",Kandivali East, 20% OFF UPTO ₹50,4.6,18.0,american,20.0,50.0,UPTO,Yes
Achija,4.2 • 22 mins,"North Indian, South Indian, Chinese, Beverages, Indian, Burgers, Chaat",Kandivali East, ,4.2,22.0,north indian,0.0,0.0,NONE,Yes
Granville Greens,4.4 • 36 mins,"North Indian, South Indian, Chinese, Beverages, Italian, Mexican, Lebanese, Thai",Borivali West, 10% OFF ABOVE ₹500,4.4,36.0,north indian,10.0,500.0,ABOVE,Yes
New kathiyawadi dhaba,4.3 • 34 mins,"Indian, South Indian, Punjabi, Rajasthani",Borivali West, 10% OFF ABOVE ₹700,4.3,34.0,indian,10.0,700.0,ABOVE,Yes
Granville IDC Kitchen (Borivali),4.5 • 34 mins,South Indian,Borivali West, ,4.5,34.0,south indian,0.0,0.0,NONE,Yes
Nirvana,4.4 • 32 mins,"North Indian, Jain, Kebabs, Biryani, Chinese",Malad East, ,4.4,32.0,north indian,0.0,0.0,NONE,Yes
Banglore Iyanger Bakery,4.5 • 13 mins,Bakery,Malad East, 10% OFF UPTO ₹40,4.5,13.0,bakery,10.0,40.0,UPTO,Yes
Sweet County Cake Shop,4.6 • 25 mins,"Desserts, Bakery, Snacks",Kandivali East, ,4.6,25.0,desserts,0.0,0.0,NONE,Yes
The Netrik's Joint,4.1 • 18 mins,"Fast Food, Pizzas, Snacks, Chinese, Beverages",Malad Kan West, 30% OFF UPTO ₹75,4.1,18.0,fast food,30.0,75.0,UPTO,Yes
Gaurav Sweets And Namkeen,4.3 • 20 mins,"Sweets, Snacks, Chaat",Malad East, ,4.3,20.0,sweets,0.0,0.0,NONE,Yes
Raju's Kitchen,4.2 • 32 mins,"Chinese, Indian", SARAAF CHOUDHARY NAGAR, 10% OFF UPTO ₹40,4.2,32.0,chinese,10.0,40.0,UPTO,Yes
Bayleaf,4.3 • 32 mins,"Indian, Snacks",Kandivali East, 10% OFF ABOVE ₹1500,4.3,32.0,indian,10.0,1500.0,ABOVE,Yes
South Tiffin House,4.4 • 28 mins,"South Indian, Fast Food, Snacks",Malad East, 30% OFF UPTO ₹75,4.4,28.0,south indian,30.0,75.0,UPTO,Yes
Brijwasi Sweets,4.3 • 14 mins,"Sweets, Snacks",Kandivali East, 10% OFF UPTO ₹100,4.3,14.0,sweets,10.0,100.0,UPTO,Yes
Dominic Pizza,33 mins,"Fast Food, Pizzas, Chinese, Italian, Pastas, Desserts, Burgers, Mexican, American, Street Food",Pizza Story, 50% OFF UPTO ₹100,,33.0,fast food,50.0,100.0,UPTO,Yes
abCoffee,4.7 • 15 mins,"Cafe, Beverages, Bakery, Desserts",Malad East, 20% OFF UPTO ₹50,4.7,15.0,cafe,20.0,50.0,UPTO,Yes
K Bhagat Tarachand,3.8 • 25 mins,North Indian,Malad East, ,3.8,25.0,north indian,0.0,0.0,NONE,Yes
Saffron Restaurant,4.1 • 31 mins,"North Indian, Chinese, Beverages, Tandoor, Kebabs",Kandivali East, FREE ITEM ,4.1,31.0,north indian,0.0,0.0,ITEM_BASED,Yes
Flavours Of China,4.4 • 33 mins,Chinese,Borivali East, ,4.4,33.0,chinese,0.0,0.0,NONE,Yes
The Veg Treat,4.4 • 33 mins,"North Indian, South Indian, Chinese",Borivali West, ,4.4,33.0,north indian,0.0,0.0,NONE,Yes
The House Of Pasta,4.4 • 34 mins,"Pastas, Snacks",Borivali West, ₹100 OFF ABOVE ₹999,4.4,34.0,pastas,0.0,100.0,ABOVE,Yes
Radhe Dhokla,4.3 • 33 mins,"North Indian, Gujarati, Punjabi, Fast Food, Chinese, Snacks",Kandivali West, ₹175 OFF ABOVE ₹449,4.3,33.0,north indian,0.0,175.0,ABOVE,Yes
Northern Tadka,4.5 • 31 mins,"North Indian, Mughlai",Kandivali East, 10% OFF UPTO ₹40,4.5,31.0,north indian,10.0,40.0,UPTO,Yes
The Ice Cream Bakery - TIB,4.5 • 25 mins,"Ice Cream, Bakery, Desserts, Sweets, Beverages",Kandivali East, 20% OFF UPTO ₹50,4.5,25.0,ice cream,20.0,50.0,UPTO,Yes
Chai Sutta Bar,4.4 • 26 mins,"Indian, Snacks",Kandivali East, 10% OFF UPTO ₹40,4.4,26.0,indian,10.0,40.0,UPTO,Yes
Merwans Cake Stop,4.7 • 13 mins,"Indian, Desserts",Malad East, ,4.7,13.0,indian,0.0,0.0,NONE,Yes
MOJO Pizza - 2X Toppings,4.3 • 16-26 mins,"Pizzas, Italian, Fast Food, Desserts",Kandivali East, 50% OFF UPTO ₹100,4.3,21.0,pizzas,50.0,100.0,UPTO,Yes
"WeFit-Bowls, Salads & Sandwiches",4.5 • 17-27 mins,"Healthy Food, Salads, Keto, Snacks",Vishnu Shivam Mall, 50% OFF UPTO ₹100,4.5,22.0,healthy food,50.0,100.0,UPTO,Yes
Blue Tokai Coffee Roasters,4.5 • 19 mins,"Healthy Food, Pastas, American, Cafe, Beverages, Bakery",Malad Kan West, 20% OFF UPTO ₹50,4.5,19.0,healthy food,20.0,50.0,UPTO,Yes
Daily Kitchen - Homestyle Meals,4.3 • 10-20 mins,"Home Food, Indian, North Indian, Thalis","Thakur Village, Kandivali (E)", 50% OFF UPTO ₹100,4.3,15.0,home food,50.0,100.0,UPTO,Yes
ZAZA Mughal Biryani,4.2 • 11-21 mins,"Biryani, North Indian, Awadhi",Kandivali, 50% OFF UPTO ₹100,4.2,16.0,biryani,50.0,100.0,UPTO,Yes
Dessertino,4.1 • 29 mins,Desserts,Borivali West, ,4.1,29.0,desserts,0.0,0.0,NONE,Yes
Cafe Delight,4.4 • 29 mins,"Indian, Tandoor",Borivali East, ,4.4,29.0,indian,0.0,0.0,NONE,Yes
La Pino'z Pizza,4.2 • 25 mins,"Pizzas, Pastas, Italian, Desserts, Beverages",Thakur Complex, 50% OFF UPTO ₹100,4.2,25.0,pizzas,50.0,100.0,UPTO,Yes
Murlidhar Sweets And Farsan,4.7 • 30 mins,"Sweets, Street Food, Bengali, Gujarati, Desserts, Fast Food",Borivali West, ,4.7,30.0,sweets,0.0,0.0,NONE,Yes
Starbucks Coffee,4.4 • 17 mins,"Beverages, Cafe, Snacks, Desserts, Bakery, Ice Cream",Malad East, 10% OFF ABOVE ₹900,4.4,17.0,beverages,10.0,900.0,ABOVE,Yes
Borivali Biryani Centre (BBC),4.5 • 26 mins,"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani",Borivali West, ,4.5,26.0,biryani,0.0,0.0,NONE,Yes
Meemee's,4.5 • 26 mins,"Ice Cream, Desserts",Borivali West, 50% OFF UPTO ₹100,4.5,26.0,ice cream,50.0,100.0,UPTO,Yes
Uncle's Chinese,3.6 • 36 mins,"Chinese, Fast Food, Biryani, North Indian, Beverages",Kandivali, ,3.6,36.0,chinese,0.0,0.0,NONE,Yes
Bangalore Iyengar Bakery,4.3 • 29 mins,"Bakery, Desserts",Borivali West, ,4.3,29.0,bakery,0.0,0.0,NONE,Yes
Kunafa World,4.2 • 36 mins,"Middle Eastern, Desserts",Malad Kan West, ,4.2,36.0,middle eastern,0.0,0.0,NONE,Yes
The Cake Factory,4.2 • 22 mins,Desserts,Kandivali East, 60% OFF UPTO ₹120,4.2,22.0,desserts,60.0,120.0,UPTO,Yes
Kusum Rolls,3.5 • 32 mins,"Indian, Fast Food, Lebanese, Arabian, Kebabs",Kandivali East, ,3.5,32.0,indian,0.0,0.0,NONE,Yes
Patanwala,4.8 • 15 mins,"Sweets, Desserts",Malad East, ,4.8,15.0,sweets,0.0,0.0,NONE,Yes
Monginis,4.2 • 14 mins,"Bakery, Desserts, Snacks",Kandivali East, 20% OFF UPTO ₹50,4.2,14.0,bakery,20.0,50.0,UPTO,Yes
GetAWay-Ice Creams & Desserts,4.7 • 24 mins,"Ice Cream, Desserts, Healthy Food, Sweets",Kandivali, ₹175 OFF ABOVE ₹599,4.7,24.0,ice cream,0.0,175.0,ABOVE,Yes
Mealful Rolls - India's Biggest Rolls,4.4 • 18-28 mins,"Fast Food, Snacks, North Indian, Desserts",Kandivali East, 50% OFF UPTO ₹100,4.4,23.0,fast food,50.0,100.0,UPTO,Yes
The Momo Co.,4.1 • 20 mins,"Chinese, Asian, Tibetan, Desserts",Kandivali East, 50% OFF UPTO ₹100,4.1,20.0,chinese,50.0,100.0,UPTO,Yes
Faasos' Signature Wraps & Rolls,4 • 25 mins,"Fast Food, Snacks, North Indian, Desserts, Beverages",Kandivali East, 50% OFF UPTO ₹100,,25.0,fast food,50.0,100.0,UPTO,Yes
Kareem's,4.1 • 32 mins,"North Indian, Biryani, Chinese, Indian, Desserts, Mughlai, Tandoor, Lucknowi",Kandivali East, 50% OFF UPTO ₹100,4.1,32.0,north indian,50.0,100.0,UPTO,Yes
Suchali's Artisan Bakehouse,4.6 • 18 mins,"Beverages, Bakery",Malad East, 20% OFF UPTO ₹50,4.6,18.0,beverages,20.0,50.0,UPTO,Yes
LeanCrust Pizza- ThinCrust Experts,4.4 • 17-27 mins,"Pizzas, Italian, Desserts",Kandivali East, 50% OFF UPTO ₹100,4.4,22.0,pizzas,50.0,100.0,UPTO,Yes
Pure Veg Meals by Lunchbox,4.2 • 24 mins,"Biryani, North Indian, Desserts, Beverages",Kandivali East, 40% OFF UPTO ₹80,4.2,24.0,biryani,40.0,80.0,UPTO,Yes
The J,4.5 • 18 mins,"American, Snacks, Desserts",Malad East, ,4.5,18.0,american,0.0,0.0,NONE,Yes
Smokin' Joe's,3.9 • 34 mins,"Italian, Pizzas",Kandivali East, 20% OFF UPTO ₹50,3.9,34.0,italian,20.0,50.0,UPTO,Yes
BOOM Sandwich - Sub of India,4.3 • 13-23 mins,"Snacks, Indian, Desserts",Kandivali East, 50% OFF UPTO ₹100,4.3,18.0,snacks,50.0,100.0,UPTO,Yes
7th Heaven,3.8 • 16 mins,"Bakery, Desserts",Malad East, 50% OFF UPTO ₹100,3.8,16.0,bakery,50.0,100.0,UPTO,Yes
Itminaan Matka Biryani - Slow Cooked,4 • 22-32 mins,"Biryani, North Indian, Mughlai",Kandivali East, 60% OFF UPTO ₹120,,27.0,biryani,60.0,120.0,UPTO,Yes
Moussestruck,4.7 • 25 mins,"Ice Cream, Desserts, Sweets",Kandivali West, ₹100 OFF ABOVE ₹499,4.7,25.0,ice cream,0.0,100.0,ABOVE,Yes
Tiffin Box,27 mins,"Biryani, Beverages, North Eastern",Malad East, 30% OFF UPTO ₹75,,27.0,biryani,30.0,75.0,UPTO,Yes
Waffle Cart,3.8 • 30 mins,"Desserts, Snacks, Thalis",Borivali West, ,3.8,30.0,desserts,0.0,0.0,NONE,Yes
Madno - House of Sundaes,4.1 • 26 mins,"Ice Cream, Beverages",Thakur Village, 40% OFF UPTO ₹80,4.1,26.0,ice cream,40.0,80.0,UPTO,Yes
Gourmet Ice Cream Cakes by Baskin Robbins,4.3 • 20 mins,"Ice Cream Cakes, Desserts, Ice Cream, Bakery",Malad East, 20% OFF UPTO ₹50,4.3,20.0,ice cream cakes,20.0,50.0,UPTO,Yes
Khana Khazana,4.6 • 32 mins,"Indian, Chinese",Borivali West, ,4.6,32.0,indian,0.0,0.0,NONE,Yes
Tea Post,4.1 • 36 mins,Beverages,Borivali West, ₹175 OFF ABOVE ₹449,4.1,36.0,beverages,0.0,175.0,ABOVE,Yes
Pizza Hut,4.2 • 28 mins,Pizzas,Kandivali East, ITEMS AT ₹179,4.2,28.0,pizzas,0.0,179.0,ITEM_BASED,Yes
Momo Mia,2.3 • 26 mins,"Chinese, Desserts, Pizzas, Burgers, Pastas, Italian",Dheeraj Regancy, 50% OFF UPTO ₹100,2.3,26.0,chinese,50.0,100.0,UPTO,Yes
Hola Pasta - Fresh Gourmet Pasta,3.4 • 16-26 mins,"Pastas, Italian, Desserts, Beverages",Kandivali East, ITEMS AT ₹149,3.4,21.0,pastas,0.0,149.0,ITEM_BASED,Yes
Libon The Cake Expert,4.2 • 28 mins,Desserts,Borivali West, ₹175 OFF ABOVE ₹449,4.2,28.0,desserts,0.0,175.0,ABOVE,Yes
New York Burrito Company,4.2 • 32 mins,"Mexican, American, Continental, Snacks, Beverages, Desserts",Kandivali West, ,4.2,32.0,mexican,0.0,0.0,NONE,Yes
The Fresh Press,4.2 • 39 mins,"Beverages, Juices",Malad East, 60% OFF UPTO ₹120,4.2,39.0,beverages,60.0,120.0,UPTO,Yes
Dairy Don,3.9 • 26 mins,"Beverages, Desserts",Borivali West, 10% OFF ABOVE ₹600,3.9,26.0,beverages,10.0,600.0,ABOVE,Yes
McCafe by McDonald's,3 • 30 mins,"American, Beverages, Desserts",Kandivali East, ,,30.0,american,0.0,0.0,NONE,Yes
Bhagwati Pav Bhaji,4.1 • 36 mins,"Street Food, Chinese, South Indian, North Indian",Kandivali West, ₹125 OFF ABOVE ₹499,4.1,36.0,street food,0.0,125.0,ABOVE,Yes
Goragandhi Juice Corner & Veg World,4.6 • 34 mins,"North Indian, South Indian, Chinese, Indian, Chaat, Fast Food, Maharashtrian, Pizzas, Juices, Mexican, Pastas",Borivali West, ,4.6,34.0,north indian,0.0,0.0,NONE,Yes
The Waffle Co.,4.4 • 34 mins,"Desserts, Waffle",Kandivali West, ,4.4,34.0,desserts,0.0,0.0,NONE,Yes
99 Pancakes,4.6 • 32 mins,"Desserts, Beverages",Kandivali West, ₹175 OFF ABOVE ₹449,4.6,32.0,desserts,0.0,175.0,ABOVE,Yes
IDC Kitchen,4.3 • 36 mins,South Indian,Malad East, ₹125 OFF ABOVE ₹999,4.3,36.0,south indian,0.0,125.0,ABOVE,Yes
Burger Hub,34 mins,"Burgers, Snacks, Chinese",Borivali West, ,,34.0,burgers,0.0,0.0,NONE,Yes
Delights by INOX,4.6 • 18 mins,Snacks,Kandivali East, 60% OFF UPTO ₹120,4.6,18.0,snacks,60.0,120.0,UPTO,Yes
GLOBO Ice Creams Of The World,4.4 • 7-17 mins,"Ice Cream, Desserts, Bakery",Kandivali East, 50% OFF UPTO ₹100,4.4,12.0,ice cream,50.0,100.0,UPTO,Yes
Go Zero - Guilt Free Ice Creams,4.2 • 14 mins,"Ice Cream, Desserts",Kandivali East, 50% OFF UPTO ₹100,4.2,14.0,ice cream,50.0,100.0,UPTO,Yes
The Momo Factory,4.1 • 27 mins,"Tibetan, Chinese, Asian",Kandivali East, ₹175 OFF ABOVE ₹449,4.1,27.0,tibetan,0.0,175.0,ABOVE,Yes
Food Adda,4 • 28 mins,"Burgers, Pizzas, Fast Food, Beverages",Borivali East, 50% OFF UPTO ₹100,,28.0,burgers,50.0,100.0,UPTO,Yes
"Bhatti Chicken - Grilled, NOT Fried!",4.2 • 24-34 mins,"North Indian, Snacks, Fast Food, Tandoor",Kandivali East, 50% OFF UPTO ₹100,4.2,29.0,north indian,50.0,100.0,UPTO,Yes
Mehfil by Behrouz,4.4 • 29 mins,"Biryani, North Indian, Kebabs, Mughlai, Lucknowi, Hyderabadi, Desserts, Beverages",Kandivali East, 40% OFF UPTO ₹80,4.4,29.0,biryani,40.0,80.0,UPTO,Yes
Tewari Brothers,4.6 • 33 mins,"Snacks, Sweets, North Indian, Beverages, Desserts",Borivali West, ,4.6,33.0,snacks,0.0,0.0,NONE,Yes
World Of Paratha,4.4 • 33 mins,"North Indian, Beverages",Borivali West, ,4.4,33.0,north indian,0.0,0.0,NONE,Yes
Bhagwati Veg Restaurant,4.3 • 35 mins,"North Indian, Chinese, Biryani, South Indian",Borivali West, ₹125 OFF ABOVE ₹499,4.3,35.0,north indian,0.0,125.0,ABOVE,Yes
Kwality Walls Frozen Dessert and Ice Cream Shop,4.8 • 15 mins,"Desserts, Ice Cream, Ice Cream Cakes",Thakur Village, 50% OFF UPTO ₹100,4.8,15.0,desserts,50.0,100.0,UPTO,Yes
Anand Sweets & Savouries,4.7 • 40 mins,"Sweets, Desserts",Jog Gor East, ₹100 OFF ABOVE ₹499,4.7,40.0,sweets,0.0,100.0,ABOVE,Yes
Myfroyoland - Premium Frozen Yogurt,4.4 • 28 mins,"Desserts, Ice Cream, Healthy Food",Borivali West, 10% OFF ABOVE ₹1500,4.4,28.0,desserts,10.0,1500.0,ABOVE,Yes
Sweetish House Mafia,4.2 • 30 mins,Desserts,Kandivali West, 30% OFF UPTO ₹150,4.2,30.0,desserts,30.0,150.0,UPTO,Yes
Natural Ice Cream,4.7 • 21 mins,"Ice Cream, Desserts",Avenue Hotel, 20% OFF ,4.7,21.0,ice cream,20.0,0.0,NONE,Yes
Chinese Wok,4.2 • 21 mins,"Chinese, Asian, Tibetan, Desserts",Kandivali East, 50% OFF UPTO ₹100,4.2,21.0,chinese,50.0,100.0,UPTO,Yes
The Belgian Waffle Co.,4.5 • 27 mins,"Waffle, Desserts, Ice Cream",Kandivali East, 20% OFF UPTO ₹50,4.5,27.0,waffle,20.0,50.0,UPTO,Yes
Ghar Ki Rasoi,32 mins,North Indian,Malad East, ,,32.0,north indian,0.0,0.0,NONE,Yes
Mamledar Misal,4 • 27 mins,"Maharashtrian, Street Food",Borivali West, ₹100 OFF ABOVE ₹749,,27.0,maharashtrian,0.0,100.0,ABOVE,Yes
Chaayos Chai+Snacks=Relax,4.5 • 18 mins,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, Street Food, Sweets",kandivali east, 60% OFF UPTO ₹120,4.5,18.0,bakery,60.0,120.0,UPTO,Yes
The Good Bowl,4.3 • 24 mins,"Biryani, North Indian, Pastas, Punjabi, Desserts, Beverages",Kandivali East, ₹175 OFF ABOVE ₹799,4.3,24.0,biryani,0.0,175.0,ABOVE,Yes
BOX8 - Desi Meals,4.4 • 11-21 mins,"North Indian, Biryani, Thalis, Home Food",Kandivali East, 50% OFF UPTO ₹100,4.4,16.0,north indian,50.0,100.0,UPTO,Yes
Behrouz Biryani,4.2 • 22 mins,"Biryani, North Indian, Kebabs, Mughlai, Lucknowi, Hyderabadi, Desserts, Beverages",Kandivali East, 60% OFF UPTO ₹110,4.2,22.0,biryani,60.0,110.0,UPTO,Yes
"Faasos - Wraps, Rolls & Shawarma",4.1 • 26 mins,"Kebabs, Fast Food, Snacks, North Indian, American, Healthy Food, Desserts, Beverages",Kandivali East, 60% OFF UPTO ₹110,4.1,26.0,kebabs,60.0,110.0,UPTO,Yes
LunchBox - Meals and Thalis,4.3 • 26 mins,"Biryani, North Indian, Punjabi, Healthy Food, Desserts, Beverages",Kandivali East, ITEMS AT ₹159,4.3,26.0,biryani,0.0,159.0,ITEM_BASED,Yes
Subway,4 • 26 mins,"Salads, Snacks, Desserts, Beverages",Kandivali East, 40% OFF UPTO ₹80,,26.0,salads,40.0,80.0,UPTO,Yes
Mohanlal S Mithaiwala,4.9 • 33 mins,"Sweets, Desserts, Snacks",Borivali West, ,4.9,33.0,sweets,0.0,0.0,NONE,Yes
Parsi Dairy Farm,4.6 • 31 mins,Indian,Borivali West, ,4.6,31.0,indian,0.0,0.0,NONE,Yes
Adarsh,4.5 • 31 mins,"Snacks, Sweets, Bakery",Borivali West, 10% OFF ABOVE ₹1900,4.5,31.0,snacks,10.0,1900.0,ABOVE,Yes
Mama Mia! - Italian Ice Creams & Cakes,4.4 • 27 mins,"Bakery, Desserts, Ice Cream",Borivali West, ₹175 OFF ABOVE ₹599,4.4,27.0,bakery,0.0,175.0,ABOVE,Yes
Trishiv Chinese Corner,4.1 • 34 mins,"Chinese, Fast Food, Street Food, North Indian",Borivali West, 10% OFF ABOVE ₹1000,4.1,34.0,chinese,10.0,1000.0,ABOVE,Yes
Baskin Robbins - Ice Cream Desserts,4.6 • 13 mins,Desserts,Kandivali East, 30% OFF UPTO ₹75,4.6,13.0,desserts,30.0,75.0,UPTO,Yes
Wagh Bakri Tea Lounge,3.5 • 39 mins,"Beverages, Snacks, Fast Food, Street Food, Desserts",Borivali West, 20% OFF ABOVE ₹700,3.5,39.0,beverages,20.0,700.0,ABOVE,Yes
Chitale Xpress,4.7 • 28 mins,"Sweets, Desserts",Borivali West, ,4.7,28.0,sweets,0.0,0.0,NONE,Yes
Cheesecakes By CakeZone,4.4 • 33 mins,"Bakery, Desserts, Sweets, Beverages, Ice Cream, Juices, Bengali",L T Road Junction, ₹175 OFF ABOVE ₹699,4.4,33.0,bakery,0.0,175.0,ABOVE,Yes
Birdy's Cake Shop,4.1 • 35 mins,"Desserts, Bakery",Malad East, ,4.1,35.0,desserts,0.0,0.0,NONE,Yes
Jeden-The Cake Expert,4.3 • 31 mins,"Desserts, Bakery, Sweets",Kandivali West, ₹125 OFF ABOVE ₹599,4.3,31.0,desserts,0.0,125.0,ABOVE,Yes
Iceberg Organic Icecreams,36 mins,Ice Cream,Borivali West, ₹150 OFF ABOVE ₹299,,36.0,ice cream,0.0,150.0,ABOVE,Yes
Oven Story Pizza - Standout Toppings,4.4 • 23-32 mins,"Pizzas, Pastas, Italian, Desserts, Beverages",Kandivali East, ₹125 OFF ABOVE ₹899,4.4,27.5,pizzas,0.0,125.0,ABOVE,Yes
Ovenfresh Cakes And Desserts,4.1 • 34 mins,"Bakery, Desserts, Beverages, Ice Cream, Sweets, Juices, Bengali, Pizzas",Borivali West, ₹125 OFF ABOVE ₹399,4.1,34.0,bakery,0.0,125.0,ABOVE,Yes
